dip,Género,Provincia,Ciudad,Colegio,Administración del Colegio,Edad
4823199,MASCULINO,MURILLO,LA PAZ,UNID.EDUC. LOS AMIGOS,PRIVADA,34
4823285,MASCULINO,MURILLO,LA PAZ,LUIS ESPINAL CAMPS AEROPUERTO,FISCAL,31
4823933,NO RESPONDE,MURILLO,LA PAZ,"UNIDAD EDUCATIVA PARROQUIAL ""SAN JOSE""",PRIVADA,42
4824703,FEMENINO,MURILLO,LA PAZ,COLEGIO ALEMAN MARISCAL BRAUN,PRIVADA,29
4826081,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34
4826126,FEMENINO,MURILLO,LA PAZ,ABRAHAM REYES,FISCAL,37
4826136,MASCULINO,MURILLO,LA PAZ,COLEGIO ADVENTISTA FRANZ TAMAYO,PRIVADA,37
4826359,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4826576,MASCULINO,MURILLO,LA PAZ,INGLAAAAS CATAAAA3LICO,PRIVADA,39
4827097,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,FISCAL,44
4828419,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,46
4828507,MASCULINO,MURILLO,LA PAZ,COLEGIO INGLES CATOLICO,PRIVADA,34
4828600,MASCULINO,MURILLO,LA PAZ,INGLES CATOLICO,PRIVADA,36
4828909,FEMENINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,30
4829322,MASCULINO,MURILLO,LA PAZ,"CRISTIANO ""VIDA NIEVA""",PRIVADA,35
4829453,MASCULINO,OROPEZA,SUCRE,SAN IGNACIO,PRIVADA,34
4829541,MASCULINO,MURILLO,LA PAZ,ELIZARDO PEREZ,FISCAL,30
4830000,MASCULINO,MURILLO,LA PAZ,SISTENA EDUCATIVO CRISTIANO EDEN,PRIVADA,38
4831049,MASCULINO,MURILLO,LA PAZ,JAUN JOSE,FISCAL,32
4831359,MASCULINO,MURILLO,LA PAZ,FELIX EGUINO ZABALLA,FISCAL,30
4831596,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,44
4831711,MASCULINO,MURILLO,LA PAZ,SAN JOSE,PRIVADA,35
4831815,MASCULINO,MURILLO,LA PAZ,VIDA NUEVA,PRIVADA,39
4832076,MASCULINO,OMASUYOS,LA PAZ,KALAQUE,FISCAL,46
4832581,FEMENINO,MURILLO,LA PAZ,SANTISIMA TRINIDAD,PRIVADA,32
4832641,MASCULINO,MURILLO,LA PAZ,COL. NAL. GERMAN BUSCH,FISCAL,47
4833182,MASCULINO,MURILLO,LA PAZ,SANATA ANA,PRIVADA,31
4833281,FEMENINO,MURILLO,LA PAZ,LICEO DE SENORITAS BOLIVIA,FISCAL,46
4833730,FEMENINO,MURILLO,LA PAZ,SANTA ANA,PRIVADA,31
4834530,MASCULINO,MURILLO,LA PAZ,LORETTO,PRIVADA,29
4834628,MASCULINO,MURILLO,LA PAZ,SAN BERNARDO,PRIVADA,33
4835042,MASCULINO,MURILLO,LA PAZ,MONTESSORI,PRIVADA,32
4835799,FEMENINO,MURILLO,LA PAZ,SANANTONIO DE PADUA,PRIVADA,33
4835823,FEMENINO,OTRO,COCHABAMBA,ALEMAN MARISCAL BRAUN,CONVENIO,30
4835936,NO RESPONDE,MURILLO,LA PAZ,OTRO,FISCAL,16
4836651,FEMENINO,MURILLO,EL ALTO,SAN AGUSTIN,PRIVADA,46
4836682,MASCULINO,MURILLO,LA PAZ,LEONARDO DA VINCI,PRIVADA,32
4836882,MASCULINO,MURILLO,LA PAZ,BETANIA HIGH SCHOOL,PRIVADA,34
4837002,MASCULINO,MURILLO,LA PAZ,COLEGIO INGLES SANTA EUFRASIA (C.I.S.E.),PRIVADA,37
4837603,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,32
4837719,MASCULINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,PRIVADA,32
4837836,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,29
4838813,MASCULINO,MURILLO,LA PAZ,U.E.F.,FISCAL,35
4838894,MASCULINO,MURILLO,LA PAZ,DOMINGO FAUSTINO SARMIENTO,FISCAL,38
4839737,FEMENINO,MURILLO,LA PAZ,LA SALLE TRINIDAD,PRIVADA,32
4839931,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4839950,MASCULINO,MURILLO,LA PAZ,DR.MARTIN CARDENAS,FISCAL,47
4840692,MASCULINO,MURILLO,LA PAZ,COLESOL SAINT GERMAIN,PRIVADA,29
4840766,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4840792,MASCULINO,MURILLO,LA PAZ,IGNACIO CALDERON,FISCAL,44
4840798,MASCULINO,MURILLO,LA PAZ,ANTONIO DIAZ VILLAMIL,FISCAL,34
4841117,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,30
4841214,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4841505,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,31
4841515,MASCULINO,MURILLO,LA PAZ,DAMIAN DE VEUSTER,FISCAL,36
4841744,MASCULINO,MURILLO,LA PAZ,NO REGISTRO,FISCAL,43
4842226,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,34
4842577,FEMENINO,MURILLO,CANTON ITALAQUE,CEMA MIRAFLORES,FISCAL,52
4842792,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,37
4843005,MASCULINO,MURILLO,LA PAZ,SANTISIMA TRINIDAD,PRIVADA,33
4843054,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4844448,MASCULINO,MURILLO,LA PAZ,COLEGIO NACIONAL,FISCAL,36
4844450,MASCULINO,DESCONOCIDO,DESCONOCIDO,9 DE ABRIL,FISCAL,34
4844620,NO RESPONDE,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,29
4845628,MASCULINO,MURILLO,LA PAZ,MY.JOSE AGUSTIN CASTRILLO,FISCAL,32
4845719,MASCULINO,MURILLO,LA PAZ,MAYOR JOSE AGUSTIN CASTRILLO,FISCAL,34
4845807,MASCULINO,MURILLO,LA PAZ,SAINT PAUL,PRIVADA,32
4845894,FEMENINO,MURILLO,LA PAZ,SAN AGUSTIN,PRIVADA,47
4846467,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4846583,MASCULINO,MURILLO,EL ALTO,EL ALTO,FISCAL,31
4846878,MASCULINO,MURILLO,LA PAZ,FRAY BERNARDINO DE CARDENAS,PRIVADA,29
4847044,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4847555,MASCULINO,MURILLO,LA PAZ,ABRAHAM REYES,FISCAL,46
4847840,FEMENINO,MURILLO,EL ALTO,GRAN BRETANA,FISCAL,30
4847946,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,47
4848132,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4848258,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,FISCAL,34
4848404,MASCULINO,MURILLO,LA PAZ,IGNACIO CALDERON,FISCAL,32
4848690,FEMENINO,MURILLO,EL ALTO,"VILLA ALEMANIA ""FE Y ALEGRIA""",CONVENIO,31
4848849,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4848890,FEMENINO,MURILLO,LA PAZ,MARISCAL DE CEPITA,PRIVADA,30
4849007,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA PARROQUIAL SAN JOSE,PRIVADA,35
4849019,FEMENINO,MURILLO,LA PAZ,BOLIVIA IV,FISCAL,30
4849386,MASCULINO,MURILLO,LA PAZ,DESCONOCIDO,FISCAL,16
4850213,MASCULINO,MURILLO,LA PAZ,COL. FERROVIARIO,FISCAL,32
4851449,FEMENINO,MURILLO,LA PAZ,DON BOSCO - EL PRADO,CONVENIO,29
4854757,MASCULINO,MURILLO,LA PAZ,VIRGEN DE COPACABANA,PRIVADA,32
4856443,MASCULINO,MURILLO,LA PAZ,MARIEN GARTEN,CONVENIO,30
4858496,MASCULINO,MURILLO,LA PAZ,HUGO DAVILA,FISCAL,33
4858585,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,28
4859316,MASCULINO,MURILLO,LA PAZ,RAMON RETAMOSO LOPEZ,FISCAL,34
4859742,FEMENINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,32
4860120,MASCULINO,MURILLO,LA PAZ,DOMINGO SAVIO,PRIVADA,28
4861581,FEMENINO,MURILLO,LA PAZ,SAINT GERMAIN,PRIVADA,43
4861723,MASCULINO,MURILLO,EL ALTO,"UNION EUROPEA ""B",FISCAL,32
4862083,MASCULINO,MURILLO,LA PAZ,ANTONIO DIAZ VILLAMIL,FISCAL,33
4862733,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,32
4865836,MASCULINO,MURILLO,EL ALTO,JUAN CARLOS FLORES BEDREGAL,FISCAL,29
4866384,MASCULINO,MURILLO,LA PAZ,COLEGIO SAN LUIS DE FE Y ALEGRIA,FISCAL,46
4866425,MASCULINO,MURILLO,LA PAZ,SANTANA,PRIVADA,38
4866999,MASCULINO,MURILLO,LA PAZ,IRENE NAVA DE CASTILLO,CONVENIO,45
4867660,MASCULINO,MURILLO,LA PAZ,COL. ALFREDO VARGAS,FISCAL,43
4868126,MASCULINO,MURILLO,LA PAZ,DON BOSCO,FISCAL,32
4868355,FEMENINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,30
4868874,MASCULINO,MURILLO,LA PAZ,MIGUEL DE CERVANTES Y SAAVEDRA,PRIVADA,41
4869131,MASCULINO,MURILLO,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,47
4869402,MASCULINO,MURILLO,LA PAZ,COMUNIDAD EDUCATIVA SAGRADOS CORAZONES,PRIVADA,33
4869544,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,42
4870403,MASCULINO,MURILLO,LA PAZ,"U. E. PRIVADA ""LA PAZ""",PRIVADA,31
4870598,MASCULINO,MURILLO,EL ALTO,SAN JOSE,CONVENIO,31
4870792,MASCULINO,MURILLO,LA PAZ,ADELA ZAMUDIO,FISCAL,36
4871227,FEMENINO,MURILLO,LA PAZ,U.E.HOLANDA,FISCAL,33
4871588,MASCULINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,CEMA,46
4872596,MASCULINO,MURILLO,LA PAZ,NACIONAL SIMON BOLIVAR,FISCAL,37
4872665,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,31
4873476,MASCULINO,MURILLO,EL ALTO,SAN JUAN TARDE,FISCAL,29
4873486,MASCULINO,CARANAVI,CARANAVI,BOLIVIANO CUBANO,FISCAL,37
4874448,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA DOMINGO SAVIO,CONVENIO,31
4875235,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,30
4875674,MASCULINO,MURILLO,LA PAZ,ANGELUS MARITAINE,PRIVADA,35
4875806,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,35
4876159,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,38
4876582,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO Y CEMA LA PAZ II,CEMA,40
4877664,FEMENINO,ANDRES IBANEZ,SANTA CRUZ,LOS PINOS,PRIVADA,31
4878072,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4878304,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,31
4878769,MASCULINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,CONVENIO,29
4879305,MASCULINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA MCAL.JOSE BALLIVIAN,FISCAL,46
4879354,MASCULINO,MURILLO,LA PAZ,MAYOR DE SAN GENARO,PRIVADA,35
4880554,MASCULINO,MURILLO,LA PAZ,GUALBERTO VILLARROEL,CEMA,33
4880605,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,37
4882003,MASCULINO,MURILLO,LA PAZ,JULIAN APAZA,FISCAL,36
4882324,FEMENINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,PRIVADA,33
4882712,MASCULINO,MURILLO,LA PAZ,LEONARDO DA VINCI,PRIVADA,30
4883159,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,33
4883175,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,32
4883402,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,30
4883523,FEMENINO,MURILLO,LA PAZ,DON BOSCO PAMPAHASI,CONVENIO,39
4883578,MASCULINO,MURILLO,LA PAZ,ANGLO AMERICANO,PRIVADA,31
4884717,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34
4884820,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,31
4884972,FEMENINO,MURILLO,EL ALTO,ELIZARDO PEREZ,FISCAL,32
4885387,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO DE LA TERCERA ORDEN,PRIVADA,29
4885403,MASCULINO,MURILLO,LA PAZ,ITALO BOLIVIANO CRISTOFORO COLOMBO,PRIVADA,31
4885452,FEMENINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,32
4885576,MASCULINO,MURILLO,LA PAZ,CENTRO EDUCATIVO CRISTIANO BRTHEL,FISCAL,51
4885684,MASCULINO,MURILLO,LA PAZ,CUMBRE,PRIVADA,33
4886206,MASCULINO,MURILLO,LA PAZ,FERROVIARIO,FISCAL,45
4886576,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4888236,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4888826,MASCULINO,MURILLO,LA PAZ,U. E. SIMON BOLIVAR 1,FISCAL,36
4889019,FEMENINO,MURILLO,LA PAZ,LICEO REP DE FRANCIA,FISCAL,45
4889592,MASCULINO,AROMA,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,39
4889722,MASCULINO,MURILLO,LA PAZ,FRANZ TAMAYO,FISCAL,41
4890463,FEMENINO,MURILLO,LA PAZ,EMMANUEL,PRIVADA,44
4890663,MASCULINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,46
4890798,MASCULINO,MURILLO,LA PAZ,SAN AGUSTIN,PRIVADA,32
4891593,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4891672,MASCULINO,MURILLO,LA PAZ,FF. AA. DE LA NACION,FISCAL,38
4892082,MASCULINO,MURILLO,LA PAZ,ANTONIO DIAS VILLAMIL,FISCAL,42
4892163,FEMENINO,MURILLO,LA PAZ,PANTALEON DALENCE,PRIVADA,35
4892469,FEMENINO,OTRO,COCHABAMBA,CHANOCAHUA,FISCAL,31
4893537,MASCULINO,MURILLO,LA PAZ,SAN JAVIER,FISCAL,42
4894112,MASCULINO,NOR YUNGAS,LA PAZ,AVE MARIA,PRIVADA,32
4894672,FEMENINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,28
4895595,FEMENINO,MURILLO,LA PAZ,ROSA GATTORNO,PRIVADA,33
4895604,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,48
4895614,MASCULINO,MURILLO,LA PAZ,COSMOS 79,FISCAL,34
4896231,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,30
4897215,MASCULINO,MURILLO,LA PAZ,DSN FRAMCISCO DE BORJA,FISCAL,31
4897397,MASCULINO,MURILLO,LA PAZ,GENESIS,FISCAL,35
4898340,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA SAN ANCRES,CONVENIO,34
4898484,FEMENINO,LOAYZA,MALLACHUMA,CARLOS ANDRES PEREZ,FISCAL,45
4899005,MASCULINO,MURILLO,LA PAZ,COLEGIO NACIONAL SAN SIMON DE AYACUCHO,FISCAL,42
4899441,FEMENINO,INQUISIVI,COLQUIRI,U.E.,FISCAL,36
4900145,MASCULINO,MURILLO,LA PAZ,SIMON BOLIVAR,FISCAL,29
4901325,MASCULINO,NOR YUNGAS,LA PAZ,SIMON RODRIGUES CARRENO,FISCAL,36
4901530,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,40
4901771,MASCULINO,MURILLO,LA PAZ,BOLIVA II,FISCAL,36
4901777,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4901915,MASCULINO,MURILLO,LA PAZ,BOLIVIANO NORUEGO,PRIVADA,38
4902384,MASCULINO,MURILLO,LA PAZ,ANGELUS MARITAINE,PRIVADA,35
4902423,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA HERNANDO SILES REYES,FISCAL,29
4902528,FEMENINO,LARECAJA,GUANAY,UNIDAD EDUCATIVA BOLIVIA,FISCAL,45
4903721,MASCULINO,MURILLO,LA PAZ,SANTA CRUZ,FISCAL,45
4904503,MASCULINO,OTRO,OTRO,AVE MAIA,PRIVADA,34
4905320,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,46
4906003,MASCULINO,MURILLO,LA PAZ,SAN DAMIAN DE VEUSTER,CONVENIO,33
4906391,MASCULINO,MURILLO,LA PAZ,NAVAL,FISCAL,28
4906895,MASCULINO,MURILLO,LA PAZ,HORIZONTES,FISCAL,33
4907141,MASCULINO,MURILLO,LA PAZ,ESCUELA INDUSTRIAL SUPERIOR PEDRO DOMINGO MURILLO,FISCAL,46
4907320,NO RESPONDE,MURILLO,LA PAZ,UNIDAD EDU. GERMAN BUSCH,FISCAL,35
4907701,MASCULINO,MURILLO,LA PAZ,REVERNDO PADRE ESTEBAN BERTOLUSSO,PRIVADA,32
4908728,FEMENINO,MURILLO,LA PAZ,LORETTO,PRIVADA,32
4908754,MASCULINO,MURILLO,LA PAZ,MONTSERRAT COLLEGE,PRIVADA,43
4908804,FEMENINO,MURILLO,LA PAZ,CEFI,PRIVADA,33
4908920,MASCULINO,MURILLO,LA PAZ,GUALBERTO VILLARROEL,FISCAL,45
4909302,MASCULINO,MURILLO,LA PAZ,SAN LUIS,FISCAL,43
4909449,MASCULINO,MURILLO,LA PAZ,ABRAHAM REYES,CONVENIO,33
4910273,MASCULINO,MURILLO,LA PAZ,GUALBERTO VILLARROEL,FISCAL,35
4910605,MASCULINO,MURILLO,LA PAZ,GUALBERTO VILLARROEL,FISCAL,28
4911025,MASCULINO,MURILLO,LA PAZ,CEMA MIRAFLORES,FISCAL,43
4912733,FEMENINO,MURILLO,LA PAZ,COLEGIO PARTICULAR,PRIVADA,39
4912746,FEMENINO,MURILLO,LA PAZ,"""VIDA NUEVA""",CONVENIO,31
4913152,MASCULINO,MURILLO,LA PAZ,DON BOSCO,CONVENIO,37
4914137,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4914509,MASCULINO,MURILLO,LA PAZ,MAX VALDIVIA,CONVENIO,31
4915312,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,FISCAL,43
4916041,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,35
4916208,MASCULINO,MURILLO,LA PAZ,NATALIA PALACIOS,FISCAL,34
4916849,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,29
4916931,MASCULINO,MURILLO,LA PAZ,JUAN CAPRILES,FISCAL,44
4917357,MASCULINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,33
4917781,FEMENINO,MURILLO,LA PAZ,RENE BARRIENTOS ORTUNO,FISCAL,30
4917849,MASCULINO,MURILLO,LA PAZ,SANTISIMA TRINIDAD,PRIVADA,30
4917999,MASCULINO,MURILLO,LA PAZ,EXP.HUGO DAVILA T.M,FISCAL,36
4918110,FEMENINO,MURILLO,LA PAZ,MONTESSORI,PRIVADA,28
4918890,MASCULINO,MURILLO,LA PAZ,COL.NAL.ANTONIO DIAZ VILLAMIL,FISCAL,30
4918976,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,42
4919424,FEMENINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,33
4920392,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,29
4920423,MASCULINO,MURILLO,LA PAZ,INSTITUTO DE EDUCACION BANCARIA (IDEB),PRIVADA,33
4920430,FEMENINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,29
4920616,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,37
4920722,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO,PRIVADA,30
4921766,MASCULINO,MURILLO,EL ALTO,JULIAN APAZA,FISCAL,34
4921802,MASCULINO,MURILLO,LA PAZ,ANTONIO DIAZ VILLAMIL,FISCAL,44
4922225,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,47
4922285,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,33
4922425,MASCULINO,MURILLO,LA PAZ,MANUEL VICENTE BALLIVIAN,FISCAL,41
4923736,FEMENINO,MURILLO,LA PAZ,SAN MARCOS,PRIVADA,44
4923798,MASCULINO,NOR YUNGAS,CORIPATA,HUAYNA POTOSI,FISCAL,44
4924218,FEMENINO,MURILLO,LA PAZ,LA SALLE,PRIVADA,33
4925367,FEMENINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA DEL EJERCITO,PRIVADA,30
4925728,MASCULINO,MURILLO,LA PAZ,GRAL. JOSE DE SAN MARTIN,FISCAL,28
4925729,MASCULINO,MURILLO,LA PAZ,GRAL JOSE DE SAN MARTIN,FISCAL,28
4925796,MASCULINO,MURILLO,LA PAZ,"VESPERTINO ""VENEZUELA""",FISCAL,45
4925884,MASCULINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,35
4925990,FEMENINO,MURILLO,EL ALTO,JUAN CAPRILES,FISCAL,32
4926104,MASCULINO,MURILLO,LA PAZ,IRENE NAVA DE CASTILLO,CONVENIO,41
4926434,MASCULINO,MURILLO,LA PAZ,ISMAEL MONTES,FISCAL,41
4926754,MASCULINO,OMASUYOS,HUATAJATA,COL. HUATAJATA,FISCAL,44
4927313,NO RESPONDE,MURILLO,LA PAZ,LICEO NACIONAL BOLIVIA,FISCAL,44
4927604,MASCULINO,LOAYZA,LURIBAAY,U. E. MODELO SIMON BOLIVAR,FISCAL,48
4927847,MASCULINO,BUSTILLO,LLALLAGUA,ALFREDO VARGAS,FISCAL,38
4927912,MASCULINO,MURILLO,LA PAZ,SIMON BOLIVAR,FISCAL,44
4927985,MASCULINO,MANCO KAPAC,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,43
4928497,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4929252,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,44
4929598,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4930178,MASCULINO,MURILLO,LA PAZ,"UNIDAD EDUCATIVA 6 DE JUNIO ""A""",FISCAL,28
4930453,MASCULINO,MURILLO,LA PAZ,SERGIO MAURICIO VILLEGAS,FISCAL,43
4930605,MASCULINO,SUD YUNGAS,IRUPANA,FELIX EGUINO ZABALLA,CEMA,43
4930767,MASCULINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,PRIVADA,31
4930904,MASCULINO,MURILLO,LA PAZ,GUALBERTO VILLARROEL,FISCAL,31
4931019,FEMENINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,32
4933267,MASCULINO,MURILLO,LA PAZ,LIBERTADORES DE AMERICA,PRIVADA,31
4934732,MASCULINO,MURILLO,LA PAZ,SANTA ANA,PRIVADA,32
4934880,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,CONVENIO,34
4935970,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,36
4936017,MASCULINO,MURILLO,LA PAZ,"SANTA MARIA ""CENAFI""",PRIVADA,29
4936627,MASCULINO,MURILLO,LA PAZ,LOS AMIGOS,PRIVADA,36
4936633,MASCULINO,MURILLO,LA PAZ,ALFREDO VARGAS,FISCAL,34
4936741,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,36
4937051,FEMENINO,MURILLO,LA PAZ,TOPATER,FISCAL,30
4937283,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,31
4937362,MASCULINO,MURILLO,LA PAZ,CEMA GUALBERTO VILLARROEL D.P. 2,CEMA,43
4937384,MASCULINO,MURILLO,LA PAZ,DON BOSCO,FISCAL,31
4937489,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,31
4937721,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,33
4938347,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,31
4938399,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4938544,FEMENINO,MURILLO,LA PAZ,DORA SCHMIDT,FISCAL,37
4938834,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4939172,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4939372,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO DE LA T. O.,PRIVADA,40
4939770,MASCULINO,MURILLO,LA PAZ,"SAN LUIS ""FE Y ALEGRIA""",FISCAL,29
4939882,MASCULINO,MURILLO,LA PAZ,EDUARDO AVAROA,PRIVADA,35
4940054,FEMENINO,MURILLO,LA PAZ,HEROES DEL PACIFICO,FISCAL,31
4940345,FEMENINO,MURILLO,EL ALTO,U. E. UNION EUROPEA,FISCAL,34
4943475,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,35
4945371,MASCULINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA DE LA FUERZA AEREA BOLIVIANA,PRIVADA,34
4945463,FEMENINO,CARANGAS,SAN MIGUEL,U.E. CESAR CHAVEZ TABORGA,FISCAL,50
4945745,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4947992,FEMENINO,MUÑECAS,LA PAZ,CEMA FRANZ TAMAYO,FISCAL,49
4949105,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4949545,MASCULINO,MURILLO,EL ALTO,CENTRO EDUCATIVO MUTUAL LA PAZ,PRIVADA,34
4949980,MASCULINO,INGAVI,VIACHA,BASIL MILLER,PRIVADA,49
4950424,NO RESPONDE,OMASUYOS,COPANCARA,KARHUIZA,FISCAL,41
4950711,MASCULINO,MURILLO,LA PAZ,HOLANDES,CEMA,37
4953587,MASCULINO,MURILLO,EL ALTO,CONVIFACG,FISCAL,33
4960355,MASCULINO,MURILLO,EL ALTO,MARCELO QUIROGA SANTA CRUZ,FISCAL,46
4961804,FEMENINO,PACAJES,LA PAZ,NAL. MIXTO SIMON BOLIVAR,FISCAL,44
4964208,MASCULINO,MURILLO,EL ALTO,U.E. FERNANDO BRAVO,CONVENIO,32
4965300,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4965450,MASCULINO,MURILLO,LA PAZ,NESTOR PAZAMORA,FISCAL,44
4965518,FEMENINO,MURILLO,EL ALTO,LUIS ESPINAL,CONVENIO,34
